"GO.ID","Term","Annotated","Significant","Expected","classicFisher","Enrichment"
"GO:0035196","production of miRNAs involved in gene si...",44,0,0.07,"1.0000",-0.1
"GO:0035239","tube morphogenesis",814,0,1.27,"1.0000",-1.18
"GO:0035249","synaptic transmission, glutamatergic",109,0,0.17,"1.0000",-0.23
"GO:0035264","multicellular organism growth",197,0,0.31,"1.0000",-0.39
"GO:0035265","organ growth",187,0,0.29,"1.0000",-0.37
"GO:0035270","endocrine system development",101,0,0.16,"1.0000",-0.21
"GO:0035272","exocrine system development",46,0,0.07,"1.0000",-0.1
"GO:0035282","segmentation",98,0,0.15,"1.0000",-0.2
"GO:0035295","tube development",1013,0,1.58,"1.0000",-1.37
"GO:0035296","regulation of tube diameter",142,0,0.22,"1.0000",-0.29
"GO:0035303","regulation of dephosphorylation",119,0,0.19,"1.0000",-0.25
"GO:0035304","regulation of protein dephosphorylation",86,0,0.13,"1.0000",-0.18
"GO:0035305","negative regulation of dephosphorylation",43,0,0.07,"1.0000",-0.1
"GO:0035306","positive regulation of dephosphorylation",57,0,0.09,"1.0000",-0.12
"GO:0035307","positive regulation of protein dephospho...",44,0,0.07,"1.0000",-0.1
"GO:0035308","negative regulation of protein dephospho...",30,0,0.05,"1.0000",-0.07
"GO:0035315","hair cell differentiation",48,0,0.07,"1.0000",-0.1
"GO:0035329","hippo signaling",37,0,0.06,"1.0000",-0.08
"GO:0035335","peptidyl-tyrosine dephosphorylation",30,0,0.05,"1.0000",-0.07
"GO:0035357","peroxisome proliferator activated recept...",20,0,0.03,"1.0000",-0.04
"GO:0035372","protein localization to microtubule",20,0,0.03,"1.0000",-0.04
"GO:0035383","thioester metabolic process",66,0,0.1,"1.0000",-0.14
"GO:0035384","thioester biosynthetic process",25,0,0.04,"1.0000",-0.06
"GO:0035418","protein localization to synapse",82,0,0.13,"1.0000",-0.18
"GO:0035456","response to interferon-beta",26,0,0.04,"1.0000",-0.06
"GO:0035458","cellular response to interferon-beta",20,0,0.03,"1.0000",-0.04
"GO:0035510","DNA dealkylation",21,0,0.03,"1.0000",-0.04
"GO:0035520","monoubiquitinated protein deubiquitinati...",32,0,0.05,"1.0000",-0.07
"GO:0035521","monoubiquitinated histone deubiquitinati...",27,0,0.04,"1.0000",-0.06
"GO:0035522","monoubiquitinated histone H2A deubiquiti...",27,0,0.04,"1.0000",-0.06
"GO:0035561","regulation of chromatin binding",21,0,0.03,"1.0000",-0.04
"GO:0035567","non-canonical Wnt signaling pathway",55,0,0.09,"1.0000",-0.12
"GO:0035592","establishment of protein localization to...",325,0,0.51,"1.0000",-0.59
"GO:0035637","multicellular organismal signaling",139,0,0.22,"1.0000",-0.29
"GO:0035640","exploration behavior",36,0,0.06,"1.0000",-0.08
"GO:0035725","sodium ion transmembrane transport",116,0,0.18,"1.0000",-0.24
"GO:0035767","endothelial cell chemotaxis",27,0,0.04,"1.0000",-0.06
"GO:0035773","insulin secretion involved in cellular r...",87,0,0.14,"1.0000",-0.19
"GO:0035774","positive regulation of insulin secretion...",42,0,0.07,"1.0000",-0.1
"GO:0035794","positive regulation of mitochondrial mem...",38,0,0.06,"1.0000",-0.08
"GO:0035812","renal sodium excretion",24,0,0.04,"1.0000",-0.06
"GO:0035813","regulation of renal sodium excretion",22,0,0.03,"1.0000",-0.04
"GO:0035825","homologous recombination",37,0,0.06,"1.0000",-0.08
"GO:0035850","epithelial cell differentiation involved...",37,0,0.06,"1.0000",-0.08
"GO:0035855","megakaryocyte development",21,0,0.03,"1.0000",-0.04
"GO:0035883","enteroendocrine cell differentiation",27,0,0.04,"1.0000",-0.06
"GO:0035886","vascular associated smooth muscle cell d...",34,0,0.05,"1.0000",-0.07
"GO:0035890","exit from host",24,0,0.04,"1.0000",-0.06
"GO:0035891","exit from host cell",24,0,0.04,"1.0000",-0.06
"GO:0035904","aorta development",65,0,0.1,"1.0000",-0.14
"GO:0035909","aorta morphogenesis",33,0,0.05,"1.0000",-0.07
"GO:0035914","skeletal muscle cell differentiation",64,0,0.1,"1.0000",-0.14
"GO:0035924","cellular response to vascular endothelia...",57,0,0.09,"1.0000",-0.12
"GO:0035929","steroid hormone secretion",27,0,0.04,"1.0000",-0.06
"GO:0035930","corticosteroid hormone secretion",22,0,0.03,"1.0000",-0.04
"GO:0035987","endodermal cell differentiation",20,0,0.03,"1.0000",-0.04
"GO:0035988","chondrocyte proliferation",20,0,0.03,"1.0000",-0.04
"GO:0036003","positive regulation of transcription fro...",24,0,0.04,"1.0000",-0.06
"GO:0036010","protein localization to endosome",25,0,0.04,"1.0000",-0.06
"GO:0036075","replacement ossification",31,0,0.05,"1.0000",-0.07
"GO:0036119","response to platelet-derived growth fact...",21,0,0.03,"1.0000",-0.04
"GO:0036230","granulocyte activation",29,0,0.05,"1.0000",-0.07
"GO:0036293","response to decreased oxygen levels",202,0,0.31,"1.0000",-0.39
"GO:0036294","cellular response to decreased oxygen le...",104,0,0.16,"1.0000",-0.21
"GO:0036297","interstrand cross-link repair",30,0,0.05,"1.0000",-0.07
"GO:0036303","lymph vessel morphogenesis",24,0,0.04,"1.0000",-0.06
"GO:0036314","response to sterol",20,0,0.03,"1.0000",-0.04
"GO:0036342","post-anal tail morphogenesis",21,0,0.03,"1.0000",-0.04
"GO:0036465","synaptic vesicle recycling",80,0,0.12,"1.0000",-0.16
"GO:0036473","cell death in response to oxidative stre...",96,0,0.15,"1.0000",-0.2
"GO:0036474","cell death in response to hydrogen perox...",38,0,0.06,"1.0000",-0.08
"GO:0036475","neuron death in response to oxidative st...",33,0,0.05,"1.0000",-0.07
"GO:0036503","ERAD pathway",101,0,0.16,"1.0000",-0.21
"GO:0038034","signal transduction in absence of ligand",63,0,0.1,"1.0000",-0.14
"GO:0038061","NIK/NF-kappaB signaling",99,0,0.15,"1.0000",-0.2
"GO:0038066","p38MAPK cascade",47,0,0.07,"1.0000",-0.1
"GO:0038083","peptidyl-tyrosine autophosphorylation",23,0,0.04,"1.0000",-0.06
"GO:0038084","vascular endothelial growth factor signa...",38,0,0.06,"1.0000",-0.08
"GO:0038127","ERBB signaling pathway",100,0,0.16,"1.0000",-0.21
"GO:0038179","neurotrophin signaling pathway",42,0,0.07,"1.0000",-0.1
"GO:0038202","TORC1 signaling",51,0,0.08,"1.0000",-0.11
"GO:0039528","cytoplasmic pattern recognition receptor...",26,0,0.04,"1.0000",-0.06
"GO:0039529","RIG-I signaling pathway",22,0,0.03,"1.0000",-0.04
"GO:0039694","viral RNA genome replication",29,0,0.05,"1.0000",-0.07
"GO:0040001","establishment of mitotic spindle localiz...",34,0,0.05,"1.0000",-0.07
"GO:0040012","regulation of locomotion",907,0,1.41,"1.0000",-1.27
"GO:0040013","negative regulation of locomotion",296,0,0.46,"1.0000",-0.55
"GO:0040014","regulation of multicellular organism gro...",76,0,0.12,"1.0000",-0.16
"GO:0040017","positive regulation of locomotion",525,0,0.82,"1.0000",-0.86
"GO:0040018","positive regulation of multicellular org...",36,0,0.06,"1.0000",-0.08
"GO:0040020","regulation of meiotic nuclear division",24,0,0.04,"1.0000",-0.06
"GO:0040029","regulation of gene expression, epigeneti...",143,0,0.22,"1.0000",-0.29
"GO:0040036","regulation of fibroblast growth factor r...",32,0,0.05,"1.0000",-0.07
"GO:0042026","protein refolding",21,0,0.03,"1.0000",-0.04
"GO:0042053","regulation of dopamine metabolic process",22,0,0.03,"1.0000",-0.04
"GO:0042058","regulation of epidermal growth factor re...",60,0,0.09,"1.0000",-0.12
"GO:0042059","negative regulation of epidermal growth ...",26,0,0.04,"1.0000",-0.06
"GO:0042060","wound healing",283,0,0.44,"1.0000",-0.53
"GO:0042069","regulation of catecholamine metabolic pr...",24,0,0.04,"1.0000",-0.06
"GO:0042073","intraciliary transport",48,0,0.07,"1.0000",-0.1
"GO:0042088","T-helper 1 type immune response",31,0,0.05,"1.0000",-0.07
"GO:0042098","T cell proliferation",147,0,0.23,"1.0000",-0.3
"GO:0042102","positive regulation of T cell proliferat...",62,0,0.1,"1.0000",-0.14
"GO:0042104","positive regulation of activated T cell ...",21,0,0.03,"1.0000",-0.04
"GO:0042116","macrophage activation",75,0,0.12,"1.0000",-0.16
"GO:0042119","neutrophil activation",24,0,0.04,"1.0000",-0.06
"GO:0042129","regulation of T cell proliferation",110,0,0.17,"1.0000",-0.23
"GO:0042130","negative regulation of T cell proliferat...",42,0,0.07,"1.0000",-0.1
"GO:0042133","neurotransmitter metabolic process",22,0,0.03,"1.0000",-0.04
"GO:0042147","retrograde transport, endosome to Golgi",85,0,0.13,"1.0000",-0.18
"GO:0042149","cellular response to glucose starvation",45,0,0.07,"1.0000",-0.1
"GO:0042157","lipoprotein metabolic process",118,0,0.18,"1.0000",-0.24
"GO:0042158","lipoprotein biosynthetic process",95,0,0.15,"1.0000",-0.2
"GO:0042168","heme metabolic process",32,0,0.05,"1.0000",-0.07
"GO:0042176","regulation of protein catabolic process",380,0,0.59,"1.0000",-0.67
"GO:0042177","negative regulation of protein catabolic...",115,0,0.18,"1.0000",-0.24
"GO:0042180","cellular ketone metabolic process",169,0,0.26,"1.0000",-0.33
"GO:0042181","ketone biosynthetic process",40,0,0.06,"1.0000",-0.08
"GO:0042219","cellular modified amino acid catabolic p...",20,0,0.03,"1.0000",-0.04
"GO:0042220","response to cocaine",43,0,0.07,"1.0000",-0.1
"GO:0042246","tissue regeneration",51,0,0.08,"1.0000",-0.11
"GO:0042254","ribosome biogenesis",296,0,0.46,"1.0000",-0.55
"GO:0042255","ribosome assembly",61,0,0.1,"1.0000",-0.14
"GO:0042267","natural killer cell mediated cytotoxicit...",37,0,0.06,"1.0000",-0.08
"GO:0042269","regulation of natural killer cell mediat...",23,0,0.04,"1.0000",-0.06
"GO:0042273","ribosomal large subunit biogenesis",70,0,0.11,"1.0000",-0.15
"GO:0042274","ribosomal small subunit biogenesis",73,0,0.11,"1.0000",-0.15
"GO:0042278","purine nucleoside metabolic process",28,0,0.04,"1.0000",-0.06
"GO:0042303","molting cycle",105,0,0.16,"1.0000",-0.21
"GO:0042304","regulation of fatty acid biosynthetic pr...",34,0,0.05,"1.0000",-0.07
"GO:0042306","regulation of protein import into nucleu...",66,0,0.1,"1.0000",-0.14
"GO:0042307","positive regulation of protein import in...",44,0,0.07,"1.0000",-0.1
"GO:0042310","vasoconstriction",89,0,0.14,"1.0000",-0.19
"GO:0042311","vasodilation",52,0,0.08,"1.0000",-0.11
"GO:0042326","negative regulation of phosphorylation",356,0,0.55,"1.0000",-0.63
"GO:0042391","regulation of membrane potential",416,0,0.65,"1.0000",-0.72
"GO:0042398","cellular modified amino acid biosyntheti...",36,0,0.06,"1.0000",-0.08
"GO:0042401","cellular biogenic amine biosynthetic pro...",34,0,0.05,"1.0000",-0.07
"GO:0042417","dopamine metabolic process",40,0,0.06,"1.0000",-0.08
"GO:0042423","catecholamine biosynthetic process",21,0,0.03,"1.0000",-0.04
"GO:0042440","pigment metabolic process",55,0,0.09,"1.0000",-0.12
"GO:0042445","hormone metabolic process",142,0,0.22,"1.0000",-0.29
"GO:0042446","hormone biosynthetic process",43,0,0.07,"1.0000",-0.1
"GO:0042461","photoreceptor cell development",45,0,0.07,"1.0000",-0.1
"GO:0042462","eye photoreceptor cell development",29,0,0.05,"1.0000",-0.07
"GO:0042471","ear morphogenesis",113,0,0.18,"1.0000",-0.24
"GO:0042472","inner ear morphogenesis",94,0,0.15,"1.0000",-0.2
"GO:0042474","middle ear morphogenesis",22,0,0.03,"1.0000",-0.04
"GO:0042475","odontogenesis of dentin-containing tooth",75,0,0.12,"1.0000",-0.16
"GO:0042476","odontogenesis",102,0,0.16,"1.0000",-0.21
"GO:0042490","mechanoreceptor differentiation",75,0,0.12,"1.0000",-0.16
"GO:0042491","inner ear auditory receptor cell differe...",42,0,0.07,"1.0000",-0.1
"GO:0042509","regulation of tyrosine phosphorylation o...",43,0,0.07,"1.0000",-0.1
"GO:0042531","positive regulation of tyrosine phosphor...",31,0,0.05,"1.0000",-0.07
"GO:0042542","response to hydrogen peroxide",110,0,0.17,"1.0000",-0.23
"GO:0042551","neuron maturation",55,0,0.09,"1.0000",-0.12
"GO:0042554","superoxide anion generation",27,0,0.04,"1.0000",-0.06
"GO:0042558","pteridine-containing compound metabolic ...",30,0,0.05,"1.0000",-0.07
"GO:0042593","glucose homeostasis",234,0,0.36,"1.0000",-0.44
"GO:0042594","response to starvation",165,0,0.26,"1.0000",-0.33
"GO:0042596","fear response",58,0,0.09,"1.0000",-0.12
"GO:0042632","cholesterol homeostasis",62,0,0.1,"1.0000",-0.14
"GO:0042633","hair cycle",105,0,0.16,"1.0000",-0.21
"GO:0042634","regulation of hair cycle",22,0,0.03,"1.0000",-0.04
"GO:0042692","muscle cell differentiation",353,0,0.55,"1.0000",-0.63
"GO:0042698","ovulation cycle",48,0,0.07,"1.0000",-0.1
"GO:0042733","embryonic digit morphogenesis",63,0,0.1,"1.0000",-0.14
"GO:0042742","defense response to bacterium",122,0,0.19,"1.0000",-0.25
"GO:0042743","hydrogen peroxide metabolic process",33,0,0.05,"1.0000",-0.07
"GO:0042745","circadian sleep/wake cycle",28,0,0.04,"1.0000",-0.06
"GO:0042749","regulation of circadian sleep/wake cycle",20,0,0.03,"1.0000",-0.04
"GO:0042752","regulation of circadian rhythm",110,0,0.17,"1.0000",-0.23
"GO:0042755","eating behavior",42,0,0.07,"1.0000",-0.1
"GO:0042770","signal transduction in response to DNA d...",161,0,0.25,"1.0000",-0.32
"GO:0042771","intrinsic apoptotic signaling pathway in...",42,0,0.07,"1.0000",-0.1
"GO:0042773","ATP synthesis coupled electron transport",55,0,0.09,"1.0000",-0.12
"GO:0042775","mitochondrial ATP synthesis coupled elec...",55,0,0.09,"1.0000",-0.12
"GO:0042789","mRNA transcription by RNA polymerase II",40,0,0.06,"1.0000",-0.08
"GO:0042832","defense response to protozoan",20,0,0.03,"1.0000",-0.04
"GO:0042886","amide transport",283,0,0.44,"1.0000",-0.53
"GO:0042908","xenobiotic transport",31,0,0.05,"1.0000",-0.07
"GO:0042987","amyloid precursor protein catabolic proc...",58,0,0.09,"1.0000",-0.12
"GO:0043001","Golgi to plasma membrane protein transpo...",41,0,0.06,"1.0000",-0.08
"GO:0043009","chordate embryonic development",727,0,1.13,"1.0000",-1.09
"GO:0043010","camera-type eye development",296,0,0.46,"1.0000",-0.55
"GO:0043029","T cell homeostasis",34,0,0.05,"1.0000",-0.07
"GO:0043030","regulation of macrophage activation",42,0,0.07,"1.0000",-0.1
"GO:0043038","amino acid activation",43,0,0.07,"1.0000",-0.1
"GO:0043039","tRNA aminoacylation",42,0,0.07,"1.0000",-0.1
"GO:0043043","peptide biosynthetic process",604,0,0.94,"1.0000",-0.96
"GO:0043062","extracellular structure organization",260,0,0.41,"1.0000",-0.5
"GO:0043086","negative regulation of catalytic activit...",485,0,0.76,"1.0000",-0.82
"GO:0043090","amino acid import",48,0,0.07,"1.0000",-0.1
"GO:0043094","cellular metabolic compound salvage",32,0,0.05,"1.0000",-0.07
"GO:0043101","purine-containing compound salvage",21,0,0.03,"1.0000",-0.04
"GO:0043112","receptor metabolic process",70,0,0.11,"1.0000",-0.15
"GO:0043113","receptor clustering",72,0,0.11,"1.0000",-0.15
"GO:0043114","regulation of vascular permeability",41,0,0.06,"1.0000",-0.08
"GO:0043122","regulation of I-kappaB kinase/NF-kappaB ...",148,0,0.23,"1.0000",-0.3
"GO:0043123","positive regulation of I-kappaB kinase/N...",95,0,0.15,"1.0000",-0.2
"GO:0043124","negative regulation of I-kappaB kinase/N...",40,0,0.06,"1.0000",-0.08
"GO:0043149","stress fiber assembly",109,0,0.17,"1.0000",-0.23
"GO:0043153","entrainment of circadian clock by photop...",25,0,0.04,"1.0000",-0.06
"GO:0043154","negative regulation of cysteine-type end...",62,0,0.1,"1.0000",-0.14
"GO:0043161","proteasome-mediated ubiquitin-dependent ...",406,0,0.63,"1.0000",-0.7
"GO:0043162","ubiquitin-dependent protein catabolic pr...",30,0,0.05,"1.0000",-0.07
"GO:0043171","peptide catabolic process",21,0,0.03,"1.0000",-0.04
"GO:0043173","nucleotide salvage",24,0,0.04,"1.0000",-0.06
"GO:0043200","response to amino acid",76,0,0.12,"1.0000",-0.16
"GO:0043242","negative regulation of protein-containin...",80,0,0.12,"1.0000",-0.16
"GO:0043243","positive regulation of protein-containin...",31,0,0.05,"1.0000",-0.07
"GO:0043244","regulation of protein-containing complex...",119,0,0.19,"1.0000",-0.25
"GO:0043247","telomere maintenance in response to DNA ...",28,0,0.04,"1.0000",-0.06
"GO:0043254","regulation of protein-containing complex...",385,0,0.6,"1.0000",-0.68
"GO:0043255","regulation of carbohydrate biosynthetic ...",96,0,0.15,"1.0000",-0.2
"GO:0043266","regulation of potassium ion transport",101,0,0.16,"1.0000",-0.21
"GO:0043267","negative regulation of potassium ion tra...",35,0,0.05,"1.0000",-0.07
"GO:0043268","positive regulation of potassium ion tra...",46,0,0.07,"1.0000",-0.1
"GO:0043270","positive regulation of ion transport",273,0,0.43,"1.0000",-0.52
"GO:0043271","negative regulation of ion transport",144,0,0.22,"1.0000",-0.29
"GO:0043276","anoikis",30,0,0.05,"1.0000",-0.07
"GO:0043277","apoptotic cell clearance",36,0,0.06,"1.0000",-0.08
"GO:0043279","response to alkaloid",79,0,0.12,"1.0000",-0.16
"GO:0043280","positive regulation of cysteine-type end...",101,0,0.16,"1.0000",-0.21
"GO:0043281","regulation of cysteine-type endopeptidas...",162,0,0.25,"1.0000",-0.32
"GO:0043297","apical junction assembly",61,0,0.1,"1.0000",-0.14
"GO:0043299","leukocyte degranulation",58,0,0.09,"1.0000",-0.12
"GO:0043300","regulation of leukocyte degranulation",42,0,0.07,"1.0000",-0.1
"GO:0043302","positive regulation of leukocyte degranu...",23,0,0.04,"1.0000",-0.06
"GO:0043303","mast cell degranulation",40,0,0.06,"1.0000",-0.08
"GO:0043304","regulation of mast cell degranulation",31,0,0.05,"1.0000",-0.07
"GO:0043330","response to exogenous dsRNA",30,0,0.05,"1.0000",-0.07
"GO:0043331","response to dsRNA",37,0,0.06,"1.0000",-0.08
"GO:0043368","positive T cell selection",28,0,0.04,"1.0000",-0.06
"GO:0043372","positive regulation of CD4-positive, alp...",20,0,0.03,"1.0000",-0.04
"GO:0043388","positive regulation of DNA binding",49,0,0.08,"1.0000",-0.11
"GO:0043392","negative regulation of DNA binding",40,0,0.06,"1.0000",-0.08
"GO:0043401","steroid hormone mediated signaling pathw...",107,0,0.17,"1.0000",-0.23
"GO:0043403","skeletal muscle tissue regeneration",36,0,0.06,"1.0000",-0.08
"GO:0043407","negative regulation of MAP kinase activi...",53,0,0.08,"1.0000",-0.11
"GO:0043409","negative regulation of MAPK cascade",161,0,0.25,"1.0000",-0.32
"GO:0043414","macromolecule methylation",293,0,0.46,"1.0000",-0.55
"GO:0043433","negative regulation of DNA-binding trans...",143,0,0.22,"1.0000",-0.29
"GO:0043434","response to peptide hormone",292,0,0.46,"1.0000",-0.55
"GO:0043436","oxoacid metabolic process",663,0,1.03,"1.0000",-1.02
"GO:0043457","regulation of cellular respiration",51,0,0.08,"1.0000",-0.11
"GO:0043462","regulation of ATP-dependent activity",57,0,0.09,"1.0000",-0.12
"GO:0043467","regulation of generation of precursor me...",128,0,0.2,"1.0000",-0.26
"GO:0043470","regulation of carbohydrate catabolic pro...",54,0,0.08,"1.0000",-0.11
"GO:0043473","pigmentation",87,0,0.14,"1.0000",-0.19
"GO:0043484","regulation of RNA splicing",145,0,0.23,"1.0000",-0.3
"GO:0043487","regulation of RNA stability",160,0,0.25,"1.0000",-0.32
"GO:0043488","regulation of mRNA stability",147,0,0.23,"1.0000",-0.3
"GO:0043489","RNA stabilization",64,0,0.1,"1.0000",-0.14
"GO:0043500","muscle adaptation",103,0,0.16,"1.0000",-0.21
"GO:0043502","regulation of muscle adaptation",88,0,0.14,"1.0000",-0.19
"GO:0043506","regulation of JUN kinase activity",62,0,0.1,"1.0000",-0.14
"GO:0043507","positive regulation of JUN kinase activi...",47,0,0.07,"1.0000",-0.1
"GO:0043516","regulation of DNA damage response, signa...",34,0,0.05,"1.0000",-0.07
"GO:0043523","regulation of neuron apoptotic process",263,0,0.41,"1.0000",-0.5
"GO:0043524","negative regulation of neuron apoptotic ...",176,0,0.27,"1.0000",-0.34
"GO:0043525","positive regulation of neuron apoptotic ...",81,0,0.13,"1.0000",-0.18
"GO:0043534","blood vessel endothelial cell migration",110,0,0.17,"1.0000",-0.23
"GO:0043535","regulation of blood vessel endothelial c...",89,0,0.14,"1.0000",-0.19
"GO:0043536","positive regulation of blood vessel endo...",53,0,0.08,"1.0000",-0.11
"GO:0043537","negative regulation of blood vessel endo...",31,0,0.05,"1.0000",-0.07
"GO:0043542","endothelial cell migration",202,0,0.31,"1.0000",-0.39
"GO:0043543","protein acylation",238,0,0.37,"1.0000",-0.45
"GO:0043547","positive regulation of GTPase activity",230,0,0.36,"1.0000",-0.44
"GO:0043550","regulation of lipid kinase activity",45,0,0.07,"1.0000",-0.1
"GO:0043551","regulation of phosphatidylinositol 3-kin...",34,0,0.05,"1.0000",-0.07
"GO:0043552","positive regulation of phosphatidylinosi...",24,0,0.04,"1.0000",-0.06
"GO:0043555","regulation of translation in response to...",20,0,0.03,"1.0000",-0.04
"GO:0043574","peroxisomal transport",21,0,0.03,"1.0000",-0.04
"GO:0043583","ear development",209,0,0.33,"1.0000",-0.41
"GO:0043588","skin development",211,0,0.33,"1.0000",-0.41
"GO:0043603","cellular amide metabolic process",946,0,1.47,"1.0000",-1.3
"GO:0043604","amide biosynthetic process",700,0,1.09,"1.0000",-1.06
"GO:0043616","keratinocyte proliferation",30,0,0.05,"1.0000",-0.07
"GO:0043618","regulation of transcription from RNA pol...",46,0,0.07,"1.0000",-0.1
"GO:0043620","regulation of DNA-templated transcriptio...",51,0,0.08,"1.0000",-0.11
"GO:0043627","response to estrogen",42,0,0.07,"1.0000",-0.1
"GO:0043628","ncRNA 3'-end processing",38,0,0.06,"1.0000",-0.08
"GO:0043631","RNA polyadenylation",46,0,0.07,"1.0000",-0.1
"GO:0043632","modification-dependent macromolecule cat...",617,0,0.96,"1.0000",-0.97
"GO:0043647","inositol phosphate metabolic process",52,0,0.08,"1.0000",-0.11
"GO:0043648","dicarboxylic acid metabolic process",72,0,0.11,"1.0000",-0.15
"GO:0043666","regulation of phosphoprotein phosphatase...",53,0,0.08,"1.0000",-0.11
"GO:0043687","post-translational protein modification",25,0,0.04,"1.0000",-0.06
"GO:0043903","regulation of biological process involve...",39,0,0.06,"1.0000",-0.08
"GO:0043931","ossification involved in bone maturation",25,0,0.04,"1.0000",-0.06
"GO:0043933","protein-containing complex organization",1402,0,2.19,"1.0000",-1.67
"GO:0043949","regulation of cAMP-mediated signaling",40,0,0.06,"1.0000",-0.08
"GO:0043950","positive regulation of cAMP-mediated sig...",21,0,0.03,"1.0000",-0.04
"GO:0043954","cellular component maintenance",66,0,0.1,"1.0000",-0.14
"GO:0043966","histone H3 acetylation",69,0,0.11,"1.0000",-0.15
"GO:0043967","histone H4 acetylation",71,0,0.11,"1.0000",-0.15
"GO:0043968","histone H2A acetylation",23,0,0.04,"1.0000",-0.06
"GO:0043984","histone H4-K16 acetylation",21,0,0.03,"1.0000",-0.04
"GO:0044030","regulation of DNA methylation",27,0,0.04,"1.0000",-0.06
"GO:0044042","glucan metabolic process",72,0,0.11,"1.0000",-0.15
"GO:0044058","regulation of digestive system process",40,0,0.06,"1.0000",-0.08
"GO:0044060","regulation of endocrine process",43,0,0.07,"1.0000",-0.1
"GO:0044062","regulation of excretion",26,0,0.04,"1.0000",-0.06
"GO:0044070","regulation of anion transport",93,0,0.14,"1.0000",-0.19
"GO:0044085","cellular component biogenesis",2694,0,4.2,"1.0000",-2.38
"GO:0044087","regulation of cellular component biogene...",916,0,1.43,"1.0000",-1.28
"GO:0044088","regulation of vacuole organization",43,0,0.07,"1.0000",-0.1
"GO:0044089","positive regulation of cellular componen...",493,0,0.77,"1.0000",-0.82
"GO:0044091","membrane biogenesis",59,0,0.09,"1.0000",-0.12
"GO:0044106","cellular amine metabolic process",94,0,0.15,"1.0000",-0.2
"GO:0044154","histone H3-K14 acetylation",22,0,0.03,"1.0000",-0.04
"GO:0044242","cellular lipid catabolic process",164,0,0.26,"1.0000",-0.33
"GO:0044248","cellular catabolic process",1785,0,2.78,"1.0000",-1.92
"GO:0044255","cellular lipid metabolic process",752,0,1.17,"1.0000",-1.12
"GO:0044257","cellular protein catabolic process",755,0,1.18,"1.0000",-1.12
"GO:0044264","cellular polysaccharide metabolic proces...",87,0,0.14,"1.0000",-0.19
"GO:0044265","cellular macromolecule catabolic process",1028,0,1.6,"1.0000",-1.38
"GO:0044270","cellular nitrogen compound catabolic pro...",363,0,0.57,"1.0000",-0.65
"GO:0044272","sulfur compound biosynthetic process",86,0,0.13,"1.0000",-0.18
"GO:0044273","sulfur compound catabolic process",21,0,0.03,"1.0000",-0.04
"GO:0044275","cellular carbohydrate catabolic process",28,0,0.04,"1.0000",-0.06
"GO:0044282","small molecule catabolic process",252,0,0.39,"1.0000",-0.48
"GO:0044283","small molecule biosynthetic process",407,0,0.63,"1.0000",-0.7
"GO:0044319","wound healing, spreading of cells",29,0,0.05,"1.0000",-0.07
"GO:0044321","response to leptin",20,0,0.03,"1.0000",-0.04
"GO:0044331","cell-cell adhesion mediated by cadherin",24,0,0.04,"1.0000",-0.06
"GO:0044342","type B pancreatic cell proliferation",23,0,0.04,"1.0000",-0.06
"GO:0044344","cellular response to fibroblast growth f...",86,0,0.13,"1.0000",-0.18
"GO:0044346","fibroblast apoptotic process",20,0,0.03,"1.0000",-0.04
"GO:0044380","protein localization to cytoskeleton",62,0,0.1,"1.0000",-0.14
"GO:0044403","biological process involved in symbiotic...",168,0,0.26,"1.0000",-0.33
"GO:0044409","entry into host",67,0,0.1,"1.0000",-0.14
"GO:0044458","motile cilium assembly",54,0,0.08,"1.0000",-0.11
"GO:0044703","multi-organism reproductive process",117,0,0.18,"1.0000",-0.24
"GO:0044706","multi-multicellular organism process",124,0,0.19,"1.0000",-0.25
"GO:0044728","DNA methylation or demethylation",73,0,0.11,"1.0000",-0.15
"GO:0044743","protein transmembrane import into intrac...",32,0,0.05,"1.0000",-0.07
"GO:0044770","cell cycle phase transition",479,0,0.75,"1.0000",-0.81
"GO:0044772","mitotic cell cycle phase transition",395,0,0.62,"1.0000",-0.7
"GO:0044773","mitotic DNA damage checkpoint signaling",77,0,0.12,"1.0000",-0.16
"GO:0044774","mitotic DNA integrity checkpoint signali...",81,0,0.13,"1.0000",-0.18
"GO:0044782","cilium organization",352,0,0.55,"1.0000",-0.63
"GO:0044784","metaphase/anaphase transition of cell cy...",59,0,0.09,"1.0000",-0.12
"GO:0044786","cell cycle DNA replication",36,0,0.06,"1.0000",-0.08
"GO:0044788","modulation by host of viral process",24,0,0.04,"1.0000",-0.06
"GO:0044818","mitotic G2/M transition checkpoint",50,0,0.08,"1.0000",-0.11
"GO:0044819","mitotic G1/S transition checkpoint signa...",23,0,0.04,"1.0000",-0.06
"GO:0044839","cell cycle G2/M phase transition",150,0,0.23,"1.0000",-0.3
"GO:0044843","cell cycle G1/S phase transition",212,0,0.33,"1.0000",-0.41
"GO:0044848","biological phase",32,0,0.05,"1.0000",-0.07
"GO:0045005","DNA-templated DNA replication maintenanc...",45,0,0.07,"1.0000",-0.1
"GO:0045010","actin nucleation",49,0,0.08,"1.0000",-0.11
"GO:0045017","glycerolipid biosynthetic process",189,0,0.29,"1.0000",-0.37
"GO:0045022","early endosome to late endosome transpor...",41,0,0.06,"1.0000",-0.08
"GO:0045047","protein targeting to ER",40,0,0.06,"1.0000",-0.08
"GO:0045048","protein insertion into ER membrane",25,0,0.04,"1.0000",-0.06
